iter	Passed	Remaining
696	1820	791
697	1823	788
698	1825	785
699	1827	783
700	1829	780
701	1831	777
702	1833	774
703	1834	771
704	1839	769
705	1841	766
706	1843	764
707	1845	761
708	1847	758
709	1849	755
710	1852	752
711	1854	750
712	1856	747
713	1858	744
714	1860	741
715	1862	738
716	1868	737
717	1870	734
718	1873	732
719	1875	729
720	1877	726
721	1882	724
722	1885	722
723	1889	720
724	1893	718
725	1897	716
726	1899	713
727	1901	710
728	1903	707
729	1905	704
730	1907	701
731	1909	699
732	1914	697
733	1916	694
734	1918	691
735	1920	688
736	1922	685
737	1924	683
738	1927	680
739	1930	678
740	1932	675
741	1934	672
742	1936	669
743	1938	666
744	1939	663
745	1942	661
746	1944	658
747	1946	655
748	1948	652
749	1950	650
750	1952	647
751	1957	645
752	1963	644
753	1965	641
754	1969	638
755	1974	637
756	1976	634
757	1978	631
758	1980	628
759	1982	626
760	1987	624
761	1989	621
762	1991	618
763	1997	616
764	1999	614
765	2002	611
766	2004	608
767	2005	605
768	2008	603
769	2009	600
770	2011	597
771	2013	594
772	2017	592
773	2019	589
774	2021	587
775	2024	584
776	2025	581
777	2027	578
778	2030	575
779	2032	573
780	2034	570
781	2036	567
782	2038	564
783	2040	562
784	2042	559
785	2046	557
786	2050	554
787	2052	552
788	2054	549
789	2056	546
790	2060	544
791	2062	541
792	2065	539
793	2067	536
794	2069	533
795	2071	530
796	2074	528
797	2077	525
798	2079	523
799	2081	520
800	2083	517
801	2085	514
802	2087	512
803	2090	509
804	2092	506
805	2094	504
806	2095	501
807	2097	498
808	2099	495
809	2101	492
810	2103	490
811	2106	487
812	2108	485
813	2110	482
814	2112	479
815	2113	476
816	2115	473
817	2117	471
818	2119	468
819	2122	465
820	2124	463
821	2126	460
822	2128	457
823	2130	455
824	2132	452
825	2136	449
826	2138	447
827	2140	444
828	2143	442
829	2149	440
830	2151	437
831	2153	434
832	2155	432
833	2158	429
834	2160	426
835	2166	425
836	2168	422
837	2171	419
838	2173	417
839	2175	414
840	2177	411
841	2180	409
842	2182	406
843	2184	403
844	2186	401
845	2188	398
846	2190	395
847	2193	393
848	2195	390
849	2196	387
850	2199	385
851	2202	382
852	2205	380
853	2207	377
854	2210	374
855	2212	372
856	2214	369
857	2216	366
858	2227	365
859	2239	364
860	2243	362
861	2245	359
862	2247	356
863	2251	354
864	2256	352
865	2258	349
866	2260	346
867	2262	343
868	2263	341
869	2265	338
870	2268	335
871	2270	333
872	2272	330
873	2275	328
874	2277	325
875	2279	322
876	2282	320
877	2284	317
878	2286	314
879	2288	312
880	2290	309
881	2291	306
882	2293	303
883	2296	301
884	2298	298
885	2300	296
886	2303	293
887	2305	290
888	2308	288
889	2312	285
890	2316	283
891	2318	280
892	2324	278
893	2328	276
894	2334	273
895	2337	271
896	2340	268
897	2344	266
898	2347	263
899	2349	261
900	2352	258
901	2358	256
902	2361	253
903	2365	251
904	2368	248
905	2373	246
906	2375	243
907	2378	241
908	2382	238
909	2386	236
910	2391	233
911	2394	231
912	2396	228
913	2399	225
914	2404	223
915	2406	220
916	2409	218
917	2413	215
918	2415	212
919	2419	210
920	2424	207
921	2428	205
922	2431	202
923	2439	200
924	2441	197
925	2446	195
926	2448	192
927	2451	190
928	2453	187
929	2455	184
930	2457	182
931	2460	179
932	2463	176
933	2465	174
934	2466	171
935	2469	168
936	2471	166
937	2473	163
938	2476	160
939	2479	158
940	2481	155
941	2484	152
942	2485	150
943	2487	147
944	2490	144
945	2493	142
946	2497	139
947	2500	137
948	2503	134
949	2510	132
950	2513	129
951	2515	126
952	2518	124
953	2523	121
954	2525	119
955	2527	116
956	2530	113
957	2534	111
958	2539	108
959	2541	105
960	2543	103
961	2545	100
962	2547	97
963	2549	95
964	2552	92
965	2556	89
966	2560	87
967	2562	84
968	2571	82
969	2575	79
970	2577	76
971	2579	74
972	2583	71
973	2586	69
